isbn13;titre;auteur;editeur;date;langue;prix
9782251771090;L'affaire Winston;Howard Fast;Belles Lettres;5 août 1999;Français;0.99
9782858225804;L'Opéra de Charles Garnier;Gérard Fontaine;Editions du Patrimoine Centre des monuments nationaux;1 juin 2000;Français;18.96
9782280837187;Escale en Australie;Ally Blake,Philippe Wantiez;Harlequin;Grands caractères, 17 octobre 2007;Français;0.98
9782702112434;La Sémantique économique en question;Christian Schmidt;Calmann-Lévy;28 février 1985;Français;4.89
9782738122537;Faire la paix avec son passé;Jean-Louis Monestès;Editions Odile Jacob;19 mars 2009;Français;21.90
9782843230592;Eileen Gray;François Baudot,Eileen Gray;Editions Assouline;1 juillet 1998;Français;21.62
9782748348521;PAR AMOUR POUR LA PALESTINE;SIHAM MIKOU;PUBLIBOOK;18 juin 2009;Français;10.15
9782754102322;Depardon. Le Désert américain;Raymond Depardon,Serge Toubiana;Hazan;26 septembre 2007;Français;15.30
9782081618626;Mon ami Chafiq;Needle Jan;Père Castor Flammarion;4 janvier 1999;Français;2.33
9782743620011;Cocktail Molotov;Jean-Paul Nozière;Rivages;2 septembre 2009;Français;8.65
9782220059747;Civiliser la démocratie;Hillary Rodham Clinton,Benjamin R. Barber;Desclée de Brouwer;7 février 2008;Français;10.20
9782221071540;Je rêvais de l'Afrique;Kuki Gallmann;Robert Laffont;7 avril 1992;Français;1.20
9782708106697;La Passion d'entreprendre;Jean-Christian Fauvet,Xavier Fourtou;Editions d'Organisation;1 septembre 1985;Français;10.00
9782218042096;Histoire de la littérature française Moyen âge, XVIe;Anne Armand;Hatier;18 août 1995;Français;13.58
9782070702268;Remarques philosophiques;Ludwig Wittgenstein;"Gallimard; Ed. posthume due aux soins";14 novembre 1984;Français;10.00
9782841463183;MISERE DU CAPITAL;MICHEL HUSSON;SYROS;31 mai 1996;Français;6.88
9782743416713;Les chiens;Lemoine Elizabeth;Art image;2000;Français;10.00
9782251602219;Lecture psychanalytique de Claudel, tome 2;M. Malicet;Belles Lettres;1 janvier 1989;Français;13.33
9782708881341;Cuisiner nature. Recettes et activites pour manger autrement;Collectif,Patrick Royer;Les Presses d'Ile-de-France;10 novembre 2011;Français;18.00
9782353554485;La bible des macarons et mignardises;Sylvie Aït-Ali;Editions ESI;1 juillet 2010;Français;14.12
9782828907273;Cheval, amour et passion;Jan Krauze;Favre;22 mai 2003;Français;10.14
9782844457707;430 Pierres aux vertus thérapeutiques;Michael Gienger;Editeur Guy Tredaniel;22 juin 2007;Français;10.04
9782844458230;81 façons de se faire plaisir;Marie Borrel;Editeur Guy Tredaniel;29 juin 2007;Français;6.09
9782843983870;Fais l'expérience 4. L'ombre et la lumière;Collectif;APOGEE;4 juin 2011;Français;6.50
9782277224327;Le Chemin de l'éternité;Clifford D. Simak,Iawa Tate Giuliani;J'ai Lu;4 janvier 1999;Français;1.35
9782862534077;Promenades dans Belleville et Ménilmontant;Dominique Détune,Claudine Hourcadette;Christine Bonneton;21 juin 2007;Français;11.00
9782930390185;La course contre la honte : Suivi de Entretien avec Robert Badinter;Pierre Clavilier;Tribord;16 septembre 2006;Français;18.30
9782724225747;Les cedres de Beau-Jardin;Belva Plain;France-Loisirs;1985;Français;1.00
9782894353721;Will Ghundee - tome 4 Le continent oublié;Collectif;Michel Quintin;19 février 2009;Français;13.50
